,index,timestamp,base,success,rates,date,historical
0,ANG,1729555199,EUR,True,1.949319,2024-10-21,True
1,SVC,1729555199,EUR,True,9.463421,2024-10-21,True
2,CAD,1729555199,EUR,True,1.496416,2024-10-21,True
3,XCD,1729555199,EUR,True,2.923247,2024-10-21,True
4,MVR,1729555199,EUR,True,16.614355,2024-10-21,True
5,HRK,1729555199,EUR,True,7.451607,2024-10-21,True
6,AUD,1729555199,EUR,True,1.62588,2024-10-21,True
7,MWK,1729555199,EUR,True,1877.212027,2024-10-21,True
8,XAG,1729555199,EUR,True,0.032066,2024-10-21,True
9,MAD,1729555199,EUR,True,10.709004,2024-10-21,True
10,PHP,1729555199,EUR,True,62.363233,2024-10-21,True
11,NAD,1729555199,EUR,True,19.058642,2024-10-21,True
12,GNF,1729555199,EUR,True,9329.341395,2024-10-21,True
13,KES,1729555199,EUR,True,139.534472,2024-10-21,True
14,MZN,1729555199,EUR,True,69.064632,2024-10-21,True
15,BTN,1729555199,EUR,True,90.914404,2024-10-21,True
16,MGA,1729555199,EUR,True,4970.240294,2024-10-21,True
17,AZN,1729555199,EUR,True,1.83743,2024-10-21,True
18,XAU,1729555199,EUR,True,0.000397,2024-10-21,True
19,RON,1729555199,EUR,True,4.974025,2024-10-21,True
20,CHF,1729555199,EUR,True,0.936228,2024-10-21,True
21,EGP,1729555199,EUR,True,52.63862,2024-10-21,True
22,BSD,1729555199,EUR,True,1.081538,2024-10-21,True
23,TWD,1729555199,EUR,True,34.684574,2024-10-21,True
24,GGP,1729555199,EUR,True,0.827655,2024-10-21,True
25,LVL,1729555199,EUR,True,0.654287,2024-10-21,True
26,MMK,1729555199,EUR,True,3513.198391,2024-10-21,True
27,WST,1729555199,EUR,True,3.029936,2024-10-21,True
28,ILS,1729555199,EUR,True,4.089686,2024-10-21,True
29,BHD,1729555199,EUR,True,0.407754,2024-10-21,True
30,GBP,1729555199,EUR,True,0.833189,2024-10-21,True
31,TZS,1729555199,EUR,True,2947.531278,2024-10-21,True
32,SDG,1729555199,EUR,True,650.623223,2024-10-21,True
33,LAK,1729555199,EUR,True,23723.571416,2024-10-21,True
34,DJF,1729555199,EUR,True,192.233233,2024-10-21,True
35,BYN,1729555199,EUR,True,3.539519,2024-10-21,True
36,LBP,1729555199,EUR,True,96862.898803,2024-10-21,True
37,RWF,1729555199,EUR,True,1460.244701,2024-10-21,True
38,PEN,1729555199,EUR,True,4.06385,2024-10-21,True
39,EUR,1729555199,EUR,True,1.0,2024-10-21,True
40,ZMK,1729555199,EUR,True,9736.264041,2024-10-21,True
41,RSD,1729555199,EUR,True,117.045379,2024-10-21,True
42,INR,1729555199,EUR,True,90.939443,2024-10-21,True
43,MUR,1729555199,EUR,True,49.650881,2024-10-21,True
44,BWP,1729555199,EUR,True,14.429149,2024-10-21,True
45,GEL,1729555199,EUR,True,2.942374,2024-10-21,True
46,KMF,1729555199,EUR,True,492.31864,2024-10-21,True
47,UZS,1729555199,EUR,True,13869.620136,2024-10-21,True
48,RUB,1729555199,EUR,True,104.703565,2024-10-21,True
49,CUC,1729555199,EUR,True,1.081663,2024-10-21,True
50,BGN,1729555199,EUR,True,1.956106,2024-10-21,True
51,JOD,1729555199,EUR,True,0.766914,2024-10-21,True
52,NGN,1729555199,EUR,True,1772.89924,2024-10-21,True
53,BDT,1729555199,EUR,True,129.253321,2024-10-21,True
54,PKR,1729555199,EUR,True,300.431682,2024-10-21,True
55,BRL,1729555199,EUR,True,6.154232,2024-10-21,True
56,KZT,1729555199,EUR,True,521.544984,2024-10-21,True
57,CVE,1729555199,EUR,True,110.650978,2024-10-21,True
58,HNL,1729555199,EUR,True,27.095387,2024-10-21,True
59,NZD,1729555199,EUR,True,1.795961,2024-10-21,True
60,ERN,1729555199,EUR,True,16.224941,2024-10-21,True
61,NPR,1729555199,EUR,True,145.475665,2024-10-21,True
62,ZMW,1729555199,EUR,True,28.847331,2024-10-21,True
63,FKP,1729555199,EUR,True,0.827655,2024-10-21,True
64,DZD,1729555199,EUR,True,144.689681,2024-10-21,True
65,JMD,1729555199,EUR,True,171.879098,2024-10-21,True
66,CRC,1729555199,EUR,True,556.179143,2024-10-21,True
67,GMD,1729555199,EUR,True,75.716668,2024-10-21,True
68,PLN,1729555199,EUR,True,4.320515,2024-10-21,True
