,index,timestamp,base,success,rates,date,historical
0,ANG,1725667199,EUR,True,1.999461,2024-09-06,True
1,SVC,1725667199,EUR,True,9.707643,2024-09-06,True
2,CAD,1725667199,EUR,True,1.506316,2024-09-06,True
3,XCD,1725667199,EUR,True,2.997824,2024-09-06,True
4,MVR,1725667199,EUR,True,17.027519,2024-09-06,True
5,HRK,1725667199,EUR,True,7.618478,2024-09-06,True
6,AUD,1725667199,EUR,True,1.663304,2024-09-06,True
7,MWK,1725667199,EUR,True,1925.120175,2024-09-06,True
8,XAG,1725667199,EUR,True,0.03972,2024-09-06,True
9,MAD,1725667199,EUR,True,10.801397,2024-09-06,True
10,PHP,1725667199,EUR,True,62.378534,2024-09-06,True
11,NAD,1725667199,EUR,True,19.656457,2024-09-06,True
12,GNF,1725667199,EUR,True,9573.449331,2024-09-06,True
13,KES,1725667199,EUR,True,143.09458,2024-09-06,True
14,MZN,1725667199,EUR,True,70.853853,2024-09-06,True
15,BTN,1725667199,EUR,True,93.206958,2024-09-06,True
16,MGA,1725667199,EUR,True,5058.213638,2024-09-06,True
17,AZN,1725667199,EUR,True,1.890141,2024-09-06,True
18,XAU,1725667199,EUR,True,0.000444,2024-09-06,True
19,RON,1725667199,EUR,True,4.97225,2024-09-06,True
20,CHF,1725667199,EUR,True,0.934716,2024-09-06,True
21,EGP,1725667199,EUR,True,53.689673,2024-09-06,True
22,BSD,1725667199,EUR,True,1.109402,2024-09-06,True
23,TWD,1725667199,EUR,True,35.541495,2024-09-06,True
24,GGP,1725667199,EUR,True,0.86358,2024-09-06,True
25,LVL,1725667199,EUR,True,0.670979,2024-09-06,True
26,MMK,1725667199,EUR,True,3602.824416,2024-09-06,True
27,WST,1725667199,EUR,True,3.106944,2024-09-06,True
28,ILS,1725667199,EUR,True,4.143237,2024-09-06,True
29,BHD,1725667199,EUR,True,0.418048,2024-09-06,True
30,GBP,1725667199,EUR,True,0.844964,2024-09-06,True
31,TZS,1725667199,EUR,True,3017.670169,2024-09-06,True
32,SDG,1725667199,EUR,True,667.222339,2024-09-06,True
33,LAK,1725667199,EUR,True,24514.586549,2024-09-06,True
34,DJF,1725667199,EUR,True,197.137642,2024-09-06,True
35,BYN,1725667199,EUR,True,3.630752,2024-09-06,True
36,LBP,1725667199,EUR,True,99529.106301,2024-09-06,True
37,RWF,1725667199,EUR,True,1483.631629,2024-09-06,True
38,PEN,1725667199,EUR,True,4.209674,2024-09-06,True
39,EUR,1725667199,EUR,True,1.0,2024-09-06,True
40,ZMK,1725667199,EUR,True,9984.650719,2024-09-06,True
41,RSD,1725667199,EUR,True,117.007673,2024-09-06,True
42,INR,1725667199,EUR,True,93.164136,2024-09-06,True
43,MUR,1725667199,EUR,True,50.981885,2024-09-06,True
44,BWP,1725667199,EUR,True,14.733763,2024-09-06,True
45,GEL,1725667199,EUR,True,2.984335,2024-09-06,True
46,KMF,1725667199,EUR,True,493.069075,2024-09-06,True
47,UZS,1725667199,EUR,True,14131.938276,2024-09-06,True
48,RUB,1725667199,EUR,True,100.142403,2024-09-06,True
49,CUC,1725667199,EUR,True,1.109257,2024-09-06,True
50,BGN,1725667199,EUR,True,1.961068,2024-09-06,True
51,JOD,1725667199,EUR,True,0.786135,2024-09-06,True
52,NGN,1725667199,EUR,True,1780.535853,2024-09-06,True
53,BDT,1725667199,EUR,True,132.574902,2024-09-06,True
54,PKR,1725667199,EUR,True,309.011393,2024-09-06,True
55,BRL,1725667199,EUR,True,6.210293,2024-09-06,True
56,KZT,1725667199,EUR,True,532.00761,2024-09-06,True
57,CVE,1725667199,EUR,True,110.648852,2024-09-06,True
58,HNL,1725667199,EUR,True,27.537357,2024-09-06,True
59,NZD,1725667199,EUR,True,1.796659,2024-09-06,True
60,ERN,1725667199,EUR,True,16.638859,2024-09-06,True
61,NPR,1725667199,EUR,True,149.131533,2024-09-06,True
62,ZMW,1725667199,EUR,True,29.150897,2024-09-06,True
63,FKP,1725667199,EUR,True,0.86358,2024-09-06,True
64,DZD,1725667199,EUR,True,146.879483,2024-09-06,True
65,JMD,1725667199,EUR,True,174.194641,2024-09-06,True
66,CRC,1725667199,EUR,True,582.718284,2024-09-06,True
67,GMD,1725667199,EUR,True,77.648405,2024-09-06,True
68,PLN,1725667199,EUR,True,4.285953,2024-09-06,True
69,AMD,1725667199,EUR,True,429.382853,2024-09-06,True
70,BMD,1725667199,EUR,True,1.109257,2024-09-06,True
71,BZD,1725667199,EUR,True,2.236284,2024-09-06,True
72,BBD,1725667199,EUR,True,2.240079,2024-09-06,True
73,SBD,1725667199,EUR,True,9.259888,2024-09-06,True
74,IDR,1725667199,EUR,True,17147.398392,2024-09-06,True
75,ALL,1725667199,EUR,True,99.345531,2024-09-06,True
76,IQD,1725667199,EUR,True,1453.127053,2024-09-06,True
