date,timestamp,base,symbol,unit,open,high,low,close
2024-07-24,1729677587,EUR,COFFEE,per lb,0.4541963164503926,0.47050801907238976,0.45320510673921505,0.4698335500650214
2024-07-25,1729677589,EUR,COFFEE,per lb,0.46983831816211913,0.4740117929678951,0.4627411037715716,0.4664233827638068
2024-07-26,1729677591,EUR,COFFEE,per lb,0.4664220932731568,0.4718810247503188,0.4660481409843096,0.47125542064180587
2024-07-27,1729677592,EUR,COFFEE,per lb,0.47125542064180587,0.47132957502168676,0.47078360797918845,0.47132957502168676
2024-07-28,1729677598,EUR,COFFEE,per lb,0.47132957502168676,0.471377276669559,0.47065134431916833,0.47072810060711334
2024-07-29,1729677604,EUR,COFFEE,per lb,0.4706877710320944,0.47386383537653554,0.4668057771071352,0.47025162972621026
2024-07-30,1729677611,EUR,COFFEE,per lb,0.4702581486310307,0.4743024731888788,0.4656184522526386,0.4693045553145265
2024-07-31,1729677616,EUR,COFFEE,per lb,0.4692919739696257,0.474891228070173,0.4617599658921366,0.4735297462817137
2024-08-01,1729677622,EUR,COFFEE,per lb,0.4735236220472405,0.4795238517861096,0.4707663102771059,0.4753267239480066
2024-08-02,1729677627,EUR,COFFEE,per lb,0.4753346552103984,0.4778856512141286,0.472073144341053,0.4747027614698805
2024-08-03,1729677632,EUR,COFFEE,per lb,0.47474581430745577,0.474760600130459,0.4729249836921005,0.47449184605348305
2024-08-04,1729677638,EUR,COFFEE,per lb,0.47449184605348305,0.4751128506196934,0.47232137421177794,0.4744509676016468
2024-08-05,1729677643,EUR,COFFEE,per lb,0.4744714068275663,0.4933544048419599,0.47388867145031127,0.4813767032967043
2024-08-06,1729677649,EUR,COFFEE,per lb,0.48141890109890145,0.48188879120879274,0.4616643386243347,0.4629656779660984
2024-08-07,1729677654,EUR,COFFEE,per lb,0.4629343220338962,0.4631508474576264,0.442838709677416,0.4456566768603446
2024-08-08,1729677659,EUR,COFFEE,per lb,0.4456460754332298,0.44661563584404657,0.4341443956920654,0.44434683492773885
2024-08-09,1729677665,EUR,COFFEE,per lb,0.4443655607571711,0.46930483351235636,0.44421901078770243,0.46883837733419326
2024-08-10,1729677671,EUR,COFFEE,per lb,0.46880188881734225,0.4688834513844152,0.46859154324962415,0.4688285039708107
2024-08-11,1729677677,EUR,COFFEE,per lb,0.4688285039708107,0.4688422408242113,0.46828160549473924,0.46850955140588124
2024-08-12,1729677682,EUR,COFFEE,per lb,0.4685189954925975,0.4691131144022327,0.44199757232450454,0.4515169281585475
2024-08-13,1729677687,EUR,COFFEE,per lb,0.451522295623453,0.4744090023804387,0.45093435177539454,0.47259230603911406
2024-08-14,1729677693,EUR,COFFEE,per lb,0.4726456049860294,0.47433763440860127,0.46161860854987347,0.46354199115975375
2024-08-15,1729677698,EUR,COFFEE,per lb,0.46354620079982967,0.4680378240543995,0.42078687144961,0.457998330550916
2024-08-16,1729677704,EUR,COFFEE,per lb,0.4579686978297138,0.4598376569037636,0.4482085115047882,0.4495901405581535
2024-08-17,1729677711,EUR,COFFEE,per lb,0.4495901405581535,0.4495901405581535,0.40741495212874,0.4493615807700125
2024-08-18,1729677716,EUR,COFFEE,per lb,0.4493615807700125,0.4495184355265787,0.4483283764514103,0.44920065186391883
2024-08-19,1729677723,EUR,COFFEE,per lb,0.4491729476471749,0.4533031729785108,0.44325311370028475,0.4517196414017976
2024-08-20,1729677728,EUR,COFFEE,per lb,0.45174164629176927,0.45182233088834856,0.4374524325388997,0.4514320486815357
2024-08-21,1729677734,EUR,COFFEE,per lb,0.4514539553752478,0.4552748107223275,0.44049712586719514,0.4444865511057964
2024-08-22,1729677739,EUR,COFFEE,per lb,0.44449173142060344,0.45462985685070806,0.4434923291492355,0.4497475728155346
2024-08-23,1729677745,EUR,COFFEE,per lb,0.4497398867313918,0.45426136363636777,0.4455315243415813,0.4469812450119746
2024-08-24,1729677750,EUR,COFFEE,per lb,0.44689904229848476,0.4473044692737418,0.445662011173187,0.44605187549880343
2024-08-25,1729677756,EUR,COFFEE,per lb,0.44605187549880343,0.44730646448523503,0.44455307262569727,0.44643774940143865
2024-08-26,1729677762,EUR,COFFEE,per lb,0.44645331205107586,0.44960789049919264,0.44062902270483667,0.44084738400789714
2024-08-27,1729677767,EUR,COFFEE,per lb,0.44089279368213213,0.44140098716683157,0.423285036980845,0.42947973102786086
2024-08-28,1729677773,EUR,COFFEE,per lb,0.42948472622478745,0.42957425552353873,0.42673775216138765,0.42947307469600227
2024-08-29,1729677779,EUR,COFFEE,per lb,0.42945879173904805,0.4423423099940141,0.42753252267901964,0.44199321898683724
2024-08-30,1729677784,EUR,COFFEE,per lb,0.4419904268049493,0.4425496609493454,0.43229119373776803,0.4328058708414832
2024-08-31,1729677790,EUR,COFFEE,per lb,0.4327956947162392,0.43326614481408565,0.43255851272015206,0.4329318982387421
2024-09-01,1729677795,EUR,COFFEE,per lb,0.4329318982387421,0.4334043052837545,0.43228845401173804,0.4323045009784714
2024-09-02,1729677801,EUR,COFFEE,per lb,0.43232876712328616,0.43352876712328214,0.43223874755381475,0.43314794520547684
2024-09-03,1729677806,EUR,COFFEE,per lb,0.43312367906066,0.4481078451246703,0.43188532289627973,0.4480186499087775
2024-09-04,1729677812,EUR,COFFEE,per lb,0.44799635110480607,0.45075010158472023,0.44763592134603647,0.4502909386428263
2024-09-05,1729677817,EUR,COFFEE,per lb,0.4502933766761481,0.45178504672897124,0.450028443722066,0.45154490044697276
2024-09-06,1729677823,EUR,COFFEE,per lb,0.45154571312474545,0.46228875000000197,0.4491018255578058,0.4622650000000061
